2704,國賓,31.1,31.1
2705,六福,17.55,17.55
2706,第一店,14.2,14.15
2707,晶華,146.5,146.5
2712,遠雄來,37.45,36.7
2722,夏都,30.65,30.5
2723,美食-KY,118,117
2727,王品,135,135
2731,雄獅,83.8,83.8
2739,寒舍,22.6,22.6
2748,雲品,40.3,40.3
2753,八方雲集,126.5,125.5
2801,彰銀,16.55,16.55
2809,京城銀,40.55,40.5
2812,台中銀,11.95,11.95
2816,旺旺保,19.4,19.4
2820,華票,17.35,17.3
2823,中壽,30.5,30.45
2832,台產,20.1,20.05
2834,臺企銀,9.62,9.62
2836,高雄銀,11.6,11.55
2836A,高雄銀甲特,24.1,24.1
2838,聯邦銀,12.25,12.25
2838A,聯邦銀甲特,52.8,52.6
2841,台開,4.35,4.35
2845,遠東銀,10.45,10.45
2849,安泰銀,16.6,16.6
2850,新產,47.4,47.4
2851,中再保,28.5,28.45
2852,第一保,14.45,14.4
2855,統一證,22.9,22.9
2867,三商壽,9.24,9.22
2880,華南金,20.55,20.55
2881,富邦金,73.7,73.6
2881A,富邦特,63.1,63
2881B,富邦金乙特,--,62.6
2881C,富邦金丙特,60,60
2882,國泰金,59.5,59.5
2882A,國泰特,62.8,62.8
2882B,國泰金乙特,62.8,62.5
2883,開發金,16.15,16.1
2884,玉山金,27.7,27.6
2885,元大金,24.55,24.5
2886,兆豐金,34.25,34.2
2887,台新金,18.6,18.55
2887E,台新戊特,53,53
2887F,台新戊特二,51.9,51.8
2888,新光金,10.45,10.45
2888A,新光金甲特,42.3,42.2
2888B,新光金乙特,42.4,42.3
2889,國票金,15.9,15.85
2890,永豐金,15.15,15.1
2891,中信金,25,24.95
2891B,中信金乙特,63.3,62.6
2891C,中信金丙特,--,61.1
2892,第一金,23.7,23.65
2897,王道銀行,7.77,7.77
2897A,王道銀甲特,10.1,10.1
2901,欣欣,25,24.95
2903,遠百,21.3,21.3
2904,匯僑,25.25,25.25
2905,三商,22.95,22.95
2906,高林,15.4,15.35
2908,特力,21.4,21.4
2910,統領,34.6,34.55
2911,麗嬰房,8.11,8.11
2912,統一超,277.5,277
2913,農林,19.15,19.15
2915,潤泰全,97.1,97.1
2923,鼎固-KY,27.05,26.8
2929,淘帝-KY,11.65,11.65
2936,客思達-KY,26.15,26
2939,凱羿-KY,27.7,27.5
2945,三商家購,76.3,76.3
3002,歐格,11.9,11.85
3003,健和興,92,92
3004,豐達科,57.8,57.8
3005,神基,53.9,53.9
3006,晶豪科,167,167
3008,大立光,"2,015.00","2,015.00"
3010,華立,89.4,89.4
3011,今皓,11.15,11.1
3013,晟銘電,13.35,13.35
3014,聯陽,104,104
3015,全漢,43.6,43.5
3016,嘉晶,148,147.5
3017,奇鋐,86,86
3018,同開,16.2,16.2
3019,亞光,97,97
3021,鴻名,23.9,23.9
3022,威強電,44.95,44.9
3023,信邦,252,252
3024,憶聲,13.45,13.4
3025,星通,22.7,22.7
3026,禾伸堂,120.5,120.5
3027,盛達,22.95,22.95
3028,增你強,31.5,31.5
3029,零壹,44.05,44.05
3030,德律,57.4,57.4
3031,佰鴻,24.3,24.25
3032,偉訓,31.75,31.7
3033,威健,29.2,29.2
3034,聯詠,486,486
3035,智原,184.5,184
3036,文曄,65.1,65.1
3036A,文曄甲特,49,49
3037,欣興,213,213
3038,全台,18.7,18.7
3040,遠見,38.1,38.1
3041,揚智,33.55,33.55
3042,晶技,103.5,103.5
3043,科風,3.49,3.49
3044,健鼎,121,121
3045,台灣大,98.8,98.7
3046,建碁,39,39
3047,訊舟,11.05,11
3048,益登,31.35,31.35
3049,和鑫,13.3,13.3
3050,鈺德,17.65,17.6
3051,力特,10.9,10.9
3052,夆典,10.6,10.6
3054,立萬利,24.7,24.65
3055,蔚華科,28.65,28.65
3056,總太,40.75,40.65
3057,喬鼎,13.7,13.7
3058,立德,15.75,15.75
3059,華晶科,38.65,38.6
3060,銘異,25.15,25.1
3062,建漢,30.6,30.55
3090,日電貿,55.2,55
3092,鴻碩,52,52
3094,聯傑,34,34
3130,一零四,173.5,173
3138,耀登,218,218
3149,正達,30.75,30.75
3164,景岳,23.7,23.65
3167,大量,94.8,94.8
3189,景碩,230,230
3209,全科,28.9,28.85
3229,晟鈦,6.72,6.66
3231,緯創,29.15,29.1
3257,虹冠電,68,68
3266,昇陽,13.3,13.3
3296,勝德,17.7,17.7
3305,昇貿,77.8,77.7
3308,聯德,8.1,8.1
3311,閎暉,34,34
3312,弘憶股,25.65,--
3321,同泰,13.8,13.75
3338,泰碩,62.2,62.2
3346,麗清,43.25,43.2
3356,奇偶,29.65,29.65
3376,新日興,94.2,94.2
3380,明泰,29.05,29
3383,新世紀,4.04,4
3406,玉晶光,517,517
3413,京鼎,225,225
3416,融程電,78.1,78.1
3419,譁裕,24.85,--
3432,台端,14.1,14.1
3437,榮創,24.2,24.2
3443,創意,595,594
3450,聯鈞,56.2,56.2
3454,晶睿,70.4,70.4
3481,群創,17.65,17.65
3494,誠研,5.02,4.95
3501,維熹,48,48
3504,揚明光,123,123
3515,華擎,246.5,246.5
3518,柏騰,22.55,22.55
3528,安馳,49.95,49.9
3530,晶相光,137.5,137.5
3532,台勝科,257,257
3533,嘉澤,672,668
3535,晶彩科,19.35,19.3
3536,誠創,5.75,5.73
3543,州巧,27.15,27.15
3545,敦泰,166.5,166.5
3550,聯穎,17.7,17.7
3557,嘉威,79.4,79.4
3563,牧德,233.5,233
3576,聯合再生,20.45,20.45
3583,辛耘,79.3,79.3
3588,通嘉,157,157
3591,艾笛森,22.5,22.5
3593,力銘,15.95,15.85
3596,智易,108,107.5
3605,宏致,50.8,50.7
3607,谷崧,14.65,14.65
3617,碩天,69.5,69.5
3622,洋華,29,28.95
3645,達邁,42.7,42.7
3653,健策,441,441
3661,世芯-KY,"1,015.00","1,015.00"
3665,貿聯-KY,250,250
3669,圓展,52.2,52.2
3673,TPK-KY,40.25,40.2
3679,新至陞,83.7,83.4
3682,亞太電,8.22,8.22
3686,達能,15,15
3694,海華,24.05,24.05
3701,大眾控,86.4,86.4
3702,大聯大,50.1,50.1
3702A,大聯大甲特,49.7,49.65
3703,欣陸,25.35,25.3
3704,合勤控,32,32
3705,永信,43.25,43.25
3706,神達,31.7,31.7
3708,上緯投控,90.1,90
3711,日月光投控,105,104.5
3712,永崴投控,30.55,30.55
3714,富采,79.1,79
4104,佳醫,56.9,56.9
4106,雃博,29.5,29.5
4108,懷特,22.6,22.6
4119,旭富,78.2,78.2
4133,亞諾法,42,42
4137,麗豐-KY,244.5,244.5
4141,龍燈-KY,21.55,21.55
4142,國光生,45.25,45.15
4148,全宇生技-KY,41.4,41.35
4155,訊映,23,23
4164,承業醫,37.15,37.05
4190,佐登-KY,--,72.7
4306,炎洲,15,15
4414,如興,7.15,7.14
4426,利勤,20.95,20.9
4438,廣越,140,140
4439,冠星-KY,--,138
4440,宜新實業,46.6,46.55
4526,東台,16.8,16.8
4532,瑞智,19.25,18.9
4536,拓凱,139.5,139
4540,全球傳動,48.1,48.05
4545,銘鈺,27.8,27.65
4551,智伸科,175,175
4552,力達-KY,32.3,32.25
4555,氣立,51.6,51.6
4557,永新-KY,69.3,69.3
4560,強信-KY,42.2,42.2
4562,穎漢,17,16.95
4564,元翎,40,40
4566,時碩工業,44.5,44.4
4571,鈞興-KY,103,103
4572,駐龍,100.5,99.8
4576,大銀微系統,102,102
4581,光隆精密-KY,35.2,35.2
4720,德淵,14.2,14.2
4722,國精化,42.05,42.05
4737,華廣,68.6,68.6
4739,康普,139,139
4746,台耀,55.4,55.3
4755,三福化,81.8,81.8
4763,材料-KY,99.4,98.8
4764,雙鍵,60.4,60.2
4766,南寶,138,138
4807,日成-KY,27.5,27.5
4904,遠傳,63.4,63.2
4906,正文,27.25,27.25
4912,聯德控股-KY,163,163
4915,致伸,53.6,53.6
4916,事欣科,30.85,30.8
4919,新唐,152,152
4927,泰鼎-KY,98.3,98.3
4930,燦星網,25.8,25.75
4934,太極,33.15,33.15
4935,茂林-KY,80.4,80.3
4938,和碩,66.4,66.3
4942,嘉彰,45.7,45.6
4943,康控-KY,37,37
4952,凌通,71.7,71.7
4956,光鋐,26.9,26.85
4958,臻鼎-KY,98,98
